position,insertions
0,0
1,0
2,0
3,4
4,1
5,15
6,7
7,2
8,14
9,4
10,6
11,2
12,12
13,0
14,0
15,6
16,3
17,3
18,11
19,14
20,8
21,4
22,5
23,5
24,7
25,8
26,17
27,10
28,11
29,15
30,13
31,22
32,15
33,23
34,13
35,19
36,12
37,4
38,5
39,9
40,26
41,69
42,46
43,21
44,67
45,14
46,79
47,64
48,16
49,15
50,49
51,17
52,34
53,34
54,171
55,131
56,246
57,162
58,88
59,16
60,52
61,46
62,20
63,46
64,98
65,41
66,108
67,49
68,120
69,25
70,46
71,76
72,18
73,60
74,27
75,107
76,25
77,36
78,111
79,63
80,22
81,51
82,57
83,23
84,57
85,66
86,34
87,37
88,66
89,34
90,68
91,46
92,8
93,21
94,73
95,28
96,22
97,26
98,24
99,70
100,7
101,30
102,104
103,24
104,71
105,55
106,36
107,58
108,31
109,23
110,32
111,54
112,37
113,23
114,160
115,59
116,82
117,153
118,178
119,48
120,43
121,55
122,11
123,34
124,53
125,381
126,139
127,14
128,24
129,23
130,62
131,352
132,533
133,850
134,958
135,50
136,1065
